path,status,version,title,lines,broken_link_count
AGENTS.md,UNSPECIFIED,,Multi-Agent Ecosystem (AGENTS.md),132,0
CHANGELOG.md,UNSPECIFIED,,Changelog,537,0
CONTRIBUTING.md,UNSPECIFIED,,Contributing to the Autonomous SRE Agent,56,0
README.md,UNSPECIFIED,,🤖 Autonomous SRE Agent,154,0
docs/README.md,"Documentation reorganized per [documentation_management_plan.md](reports/documentation_management_plan.md) — duplicates removed, DRAFT docs scheduled for promotion, point-in-time reports archived.",,Autonomous SRE Agent — Documentation Index,212,0
docs/api/api_contracts.md,DRAFT,1.0.0,API & Integration Contracts,158,0
docs/architecture/Technology_Stack.md,DRAFT,1.0.0,Technology Stack: Autonomous SRE Agent,234,0
docs/architecture/architecture.md,DRAFT,1.0.0,System Architecture Overview,78,0
docs/architecture/dependency_graph.md,DRAFT,1.0.0,Dependency Graph Architecture,46,0
docs/architecture/evolution/phase_1_5_migration.md,DRAFT,1.0.0,Phase 1.5 Migration Notes,65,0
docs/architecture/evolution/roadmap.md,APPROVED,,Architecture Evolution Roadmap,259,0
docs/architecture/evolution/target_architecture.md,DRAFT,1.0.0,Target Architecture (Phase 4 Final State),79,0
docs/architecture/extensibility.md,DRAFT,1.0.0,API & Extension Guide,28,0
docs/architecture/layers/action_layer.md,DRAFT,1.0.0,Action Layer Architecture,165,0
docs/architecture/layers/detection_layer.md,DRAFT,1.0.0,Detection Layer Architecture,80,0
docs/architecture/layers/intelligence_layer.md,DRAFT,1.0.0,Intelligence Layer Architecture,146,0
docs/architecture/layers/observability_layer.md,DRAFT,1.0.0,Observability Layer Architecture,155,0
docs/architecture/layers/operator_layer.md,DRAFT,1.0.0,Operator (Presentation & Interface) Layer,116,0
docs/architecture/layers/orchestration_layer.md,DRAFT,1.0.0,Orchestration & Governance Layer,119,0
docs/architecture/models/data_model.md,DRAFT,1.0.0,Canonical Data Model,92,0
docs/architecture/models/incident_taxonomy.md,DRAFT,1.0.0,Incident Taxonomy,14,0
docs/architecture/models/state_incident_model.md,DRAFT,1.0.0,State Machine: Canonical Incident,41,0
docs/architecture/sequence_incident_lifecycle.md,DRAFT,1.0.0,Sequence: Incident Lifecycle,75,0
docs/operations/aws_data_collection_improvements.md,UNSPECIFIED,,AWS Incident Data Collection — Improvement Areas,653,0
docs/operations/ci_cd_pipeline.md,DRAFT,,CI/CD Pipeline & Test Gates,41,0
docs/operations/external_dependencies.md,UNSPECIFIED,,External Dependencies Guide,227,0
docs/operations/graduation_criteria.md,DRAFT,1.0.0,Phase Graduation Criteria,43,0
